Cod.Programa,Nombre Programa,Asignatura,Nombre Asignatura,Cod.Asig. Prerreq.,Nombre Asignatura Prerreq.
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310014.0,TEORIA DE GRAFOS,11310005.0,ALGEBRA LINEAL
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310014.0,TEORIA DE GRAFOS,11310030.0,ALGEBRA LINEAL
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310014.0,TEORIA DE GRAFOS,11310030.0,ALGEBRA LINEAL
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310014.0,TEORIA DE GRAFOS,73210003.0,ALGEBRA LINEAL
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310014.0,TEORIA DE GRAFOS,73210003.0,ALGEBRA LINEAL
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310015.0,ELEMENTOS DE FISICA,11310004.0,CALCULO 2
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310015.0,ELEMENTOS DE FISICA,11310004.0,CALCULO 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310016.0,ECUACIONES DIFERENCIALES PARCIALES,11310008.0,ECUACIONES DIFERENCIALES
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310016.0,ECUACIONES DIFERENCIALES PARCIALES,11310010.0,ANALISIS REAL
IIN1,INGENIERIA INDUSTRIAL,11310017.0,INGENIERIA DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310017.0,INGENIERIA DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310017.0,INGENIERIA DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310017.0,INGENIERIA DE DATOS,11310006.0,ALGORITMOS Y ESTRUCTURAS DE DATOS
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310018.0,ALGEBRA ABSTRACTA Y CODIFICACION,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310018.0,ALGEBRA ABSTRACTA Y CODIFICACION,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310018.0,ALGEBRA ABSTRACTA Y CODIFICACION,11310005.0,ALGEBRA LINEAL
